時間日期,網址,標題,☯  上階層,[下階層],時間戳記
2024/05/19,https://www.youtube.com/watch?v=luHmP-ZUGOc,517院會 民眾黨、國民黨攜手支持「民進黨提案」‼️這麼感人～怎麼會是黑箱❓準行政院長卓榮泰：是你們❓偷襲我的村莊❓ #立法院 #民眾黨 #黃國昌 #民進黨 #國民黨 #卓榮泰,"社會學, 台灣民眾黨專區",時事輿論|小草發聲,
2024/05/18,https://www.youtube.com/watch?v=PgCNcLazLl4,【直播精華】有意見，這個條文在修什麼？,"社會學, 系列主題",黃國昌-通識課|時事輿論|,
2024/05/18,https://www.youtube.com/watch?v=zGCAlxKLx10,【國昌直播SP】看看芭樂黨昨天在立法院作亂,"社會學, 系列主題, 台灣民眾黨專區",冒險者公告|時事輿論|黃國昌-通識課|組織行動|,
2024/05/18,https://www.youtube.com/watch?v=lV7WXmusyWI,0518黃國昌、黃珊珊「519草根決心行動」行前記者會,"社會學, 系列主題, 台灣民眾黨專區",時事輿論|組織行動|,
2024/05/16,https://disp.cc/b/ACG/gZnt,[討論] 在家只穿一條內褲會是常態嗎,休閒牧場,討論,
2024/05/16,https://www.facebook.com/ironprofessorchan/posts/pfbid0EkGRgH8MgSqW2FNRQpQAZoMZU6s3ye4N8FFRp5nofvfzUUXbD84kpEyhnBe6P3y4l,【卸任後陳情案進度報告】,"社會學, 系列主題, 吹哨者",生態|陳椒華-循道者,
2024/05/16,https://www.youtube.com/watch?v=8VDwHFdfG4s,【國昌質詢】蔡政府跳票2470天的吹哨者保護法｜2024-05-16｜ 司法及法制委員會,"社會學, 系列主題, 社會相關議題, 事件目錄, 法律及法案, 台灣民眾黨專區, 吹哨者",質詢|立法院|[刑法]相關議題|[吹哨者保護法]相關議題|[證人保護法]相關議題|時事輿論|黃國昌-通識課|[國防|軍備|組織]相關議題|[黑道]相關議題|[人力配置]相關議題|[法律司法]相關議題|[政治]相關議題|[僱傭]相關議題|[警察|消防]相關議題|遭箝制法案|承諾|官商勾結|黑箱弊案|個資洩漏|舞弊雙標|不守信用|,
2024/05/16,https://www.youtube.com/watch?v=ng1iQdJVMEE,工作忙成狗，假日一直睡還是好累，到底怎麼樣才能真正休息到？｜莫名其妙EP174,"休閒牧場, 人生哲學",討論|Ⅰ建議|概念,
2024/05/15,https://www.youtube.com/watch?v=VoBxQKeDY9M,【國昌質詢】離譜的假釋 說謊的報告｜2024-05-15｜ 司法及法制委員會,"社會學, 系列主題, 社會相關議題, 事件目錄, 法律及法案, 台灣民眾黨專區, 吹哨者",質詢|立法院|[刑法]相關議題|黃國昌-通識課|時事輿論|[黑道]相關議題|[人力配置]相關議題|[法律司法]相關議題|[政治]相關議題|[經濟財政]相關議題|[警察|消防]相關議題|[詐騙]相關議題|官商勾結|偽造文書|變造文書|黑箱弊案|舞弊雙標|不守信用|不法關說|,
2024/05/15,https://www.facebook.com/watch/?v=813522843515535,這個地方不能種人喔,這是什麼酷酷的東西,影片,
2024/05/15,https://www.youtube.com/watch?v=_dsbftWF8g4,與 AI VTuber 工程師 Vedal 一起看 OpenAI GPT-4o 發佈會 【Neuro-sama】,"ACG同好會, Vtuber/Vup收藏",雜談向,
2024/05/13,https://disp.cc/b/ACG/gZ8a,[問題] 龍屬的判斷基準是什麼啊?,"ACG同好會, 休閒牧場",討論|小知識,
2024/05/13,https://www.youtube.com/watch?v=2ssYDu0kvi8,【直擊潛水地震海洋變化瞬間 恐怖地鳴聲海流劇變超驚險】 @narwhaldive3868,"泛普教育, 泛普教育, 休閒牧場, 防災手冊",自然|故事脈絡|水災|土災|野外知識,
2024/05/13,https://www.youtube.com/watch?v=bdObbTm69-s,【國昌直播】看看(我在)立法院做什麼_0513,"社會學, 系列主題",時事輿論|黃國昌-通識課,
2024/05/13,https://www.youtube.com/watch?v=QgQfU72IlRU,【國昌質詢】消防員要求組織工會，消防署竟要求撤案?｜2024-05-13｜社會福利及衛生環境委員會,"社會學, 系列主題, 社會相關議題, 事件目錄, 法律及法案, 台灣民眾黨專區, 吹哨者",時事輿論|黃國昌-通識課|立法院|質詢|[人力配置]相關議題|[法律司法]相關議題|[政治]相關議題|[警察|消防]相關議題|承諾|中央與地方之問題|工會|殉職|消防人員組成工會|[公職人員公會法]相關議題,
2024/05/11,https://www.youtube.com/watch?v=zsFxz-YEAaM,【東方弾幕】東方の弾幕を味わえるVRchatのマップがヤバすぎる！【ゆっくり実況】,"ACG同好會, ☯東方Project",二次創作,
2024/05/11,https://www.youtube.com/watch?v=vwkeihI7JYQ,【館長精華】519街頭遊行！僅僅只有幾千個人嗎？,"社會學, 系列主題",時事輿論|陳之漢-義士,
2024/05/11,https://www.youtube.com/watch?v=fmlD7JQMWEA,地震來了不管怎麼求爹拜娘都沒用！【字幕精華】,"社會學, 系列主題",時事輿論|陳之漢-義士,
2024/05/11,https://www.youtube.com/watch?v=QluHxlucf88,為什麼大自然裡到處都是垃圾？ 是一些不負責任的遊客造成的嗎？ 還是更大問題的徵兆？,"社會學, 社會相關議題, 事件目錄, 吹哨者, 台灣[Taiwan], ",冒險者公告|生態|Ⅰ社會貢獻|[垃圾|廢料]相關議題|[水資源]相關議題|[人力配置]相關議題|[法律司法]相關議題|[都市|區域]計畫規劃議題|[綜合領域]相關議題|[養殖業]相關議題|[經濟財政]相關議題|汙水廢水|,
2024/05/10,https://ppg.ly.gov.tw/ppg/bills/202110044770000/details,「工會法第四條及第六條條文修正草案」，請審議案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|陳昭姿|黃國昌|黃珊珊|吳春城,
2024/05/10,https://ppg.ly.gov.tw/ppg/bills/202110044730000/details,「地方民意代表費用支給及村里長事務補助費補助條例第七條、第八條條文及第五條附表修正草案」，請審議案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|黃國昌|黃珊珊|吳春城,
2024/05/10,https://ppg.ly.gov.tw/ppg/bills/202110044720000/details,「私立學校法第六十一條及第六十二條條文修正草案」，請審議案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|黃珊珊|吳春城|黃國昌,
2024/05/10,https://ppg.ly.gov.tw/ppg/bills/202110044740000/details,「保險法增訂第一百七十四條之二及第一百七十四條之三條文草案」，請審議案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|黃珊珊|黃國昌|吳春城,
2024/05/10,https://ppg.ly.gov.tw/ppg/bills/202110044780000/details,「洗錢防制法部分條文修正草案」，請審議案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|黃珊珊|黃國昌|吳春城,
2024/05/10,https://ppg.ly.gov.tw/ppg/bills/202110044750000/details,「貨物稅條例第十二條條文修正草案」，請審議案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|黃珊珊|黃國昌|吳春城,
2024/05/10,https://ppg.ly.gov.tw/ppg/bills/202110044760000/details,「道路交通管理處罰條例第六十七條條文修正草案」，請審議案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|林國成|黃國昌|黃珊珊|吳春城,
2024/05/10,https://www.youtube.com/watch?v=McnW_b7ZD2M,【完整版】第三勢力的關鍵力量要如何贏 2024 0510｜黃國昌【大雲時堂】,"社會學, 系列主題",談話|黃國昌-通識課|,
2024/05/10,https://www.youtube.com/watch?v=Zdiavmgo0Go,【直播精華】鏡然這樣串供,"社會學, 系列主題",時事輿論|黃國昌-通識課,
2024/05/10,https://ppg.ly.gov.tw/ppg/bills/212110044870000/details,有鑑於憲法增修條文第四條規定，立法院得聽取總統國情報告；另依據「立法院職權行使法」第十五條之一規定，立法院得於每年集會時，聽取總統國情報告。總統赴立法院進行國情報告，得樹立良好之憲政精神，體現權力分立及制衡原則。由是，賴清德準總統2024大選前，曾多次公開拋出願推動憲政改革及司法改革，國人亦亟欲了解新政府對於能源配置、推動淨零轉型之路徑、勞保與健保改革方案、與確保國家主權與安全等重要議題，為樹立良好的憲政慣例暨典範，深化台灣民主政治發展，爰建請院會作成決議：「本院於新任行政院院長施政方針報告前，依立法院職權行使法第十五條之二規定，邀請賴清德總統至立法院就國家大政方針進行國情報告，並依法回應立法委員提出之問題。」是否有當？請公決案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|黃國昌|吳春城|陳昭姿|麥玉珍|林國成|林憶君|張啓楷,
2024/05/10,https://ppg.ly.gov.tw/ppg/bills/212110035110000/details,有鑑於繼二月爆發蘇丹紅辣椒粉、三月寶林茶室邦克列酸中毒案，台灣近期更接連傳出多起疑似食物中毒事件，讓人民「食難心安」；對比陳建仁院長於113年2月23日的食安專報時，宣稱民進黨2016年執政以來啟動「食安五環」，致使「食安系統性問題」大幅減少、「台灣的食安還不錯」等語，相互對照實為諷刺。歷次食安事件，顯見衛生福利部身為中央主管機關，長年來未能有效督導台灣食品製造業者落實產品源頭及流向管理，砸七千多萬元建置跨部會的「食品雲」系統，登載率極低，衛福部亦無積極追蹤問題產品並進行相關的稽查與行政處分，致使食安問題連環爆。爰建請院會作成決議：「邀請行政院院長率同相關部會首長就：一、如何改善跨部會的『食品雲』系統登載率極低之問題；二、如何有效解決近期系統性食安問題，以確保國人安全健康等相關事宜進行專案報告並備質詢。」是否有當？請公決案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|黃國昌|黃珊珊|吳春城|林國成,
2024/05/09,https://www.youtube.com/watch?v=tgy0Lr4lNP0,【國昌質詢】擺爛怠惰的司法院 監聽名單外洩辦到哪？｜2024-05-09｜ 司法及法制委員會,"社會學, 系列主題, 社會相關議題, 事件目錄, 台灣民眾黨專區, 吹哨者",質詢|立法院|時事輿論|黃國昌-通識課|[人力配置]相關議題|[黑道]相關議題|[政治]相關議題|[經濟財政]相關議題|[警察|消防]相關議題|[詐騙]相關議題|[酬庸]發財升官|敷衍了事|個資洩漏|舞弊雙標|不守信用|民進黨-獨裁極權|,
2024/05/08,https://www.youtube.com/watch?v=3declZDdLLw,【國昌質詢】買豪宅當宿舍非法行政處分應撤銷　林右昌不能說一套做一套｜2024-05-08｜內政委員會,"社會學, 系列主題, 社會相關議題, 事件目錄, 台灣民眾黨專區, 吹哨者, 法律及法案",[平均地權條例]相關議題|質詢|立法院|黃國昌-通識課|時事輿論|閹割版法案|[房價房租]相關議題|[法律司法]相關議題|[政治]相關議題|中央與地方之問題|官商勾結|愚民政策|推卸責任|,
2024/05/07,https://www.youtube.com/watch?v=c2B6ox5d9eI,【館長精華】永遠只有那幾招？人民被當甘蔗吃完剩渣渣！,"社會學, 系列主題",時事輿論|陳之漢-義士,
2024/05/06,https://www.youtube.com/watch?v=T2Gdsn2xNqU,【國昌直播】看看(我在)立法院做什麼_0506,"社會學, 系列主題, 吹哨者",時事輿論|黃國昌-通識課|,
2024/05/06,https://www.youtube.com/watch?v=U1aIvXlVBcM,【國昌質詢】足協弊案將送檢調　彰銀遮掩舞弊財政部不應自失立場｜2024-05-06｜財政委員會,"社會學, 系列主題, 社會相關議題, 事件目錄, 台灣民眾黨專區, 吹哨者",時事輿論|黃國昌-通識課|質詢|立法院|[政治]相關議題|[經濟財政]相關議題|[體育競技]相關議題|官商勾結|偽造文書|變造文書|黑箱弊案|專案|補助|,
2024/05/06,https://youtu.be/iyp1H3r1WTI?si=GyieU4uNzsSz7Z4m,【國昌質詢】謹記過往教訓　別再浪費公帑｜2024-05-06｜交通委員會,"社會學, 系列主題, 社會相關議題, 事件目錄, 台灣民眾黨專區, 吹哨者",時事輿論|黃國昌-通識課|質詢|立法院|[交通]相關議題|[經濟財政]相關議題|[境外勢力]相關議題|[詐騙]相關議題|官商勾結|偽造文書|變造文書|黑箱弊案|委託辦理|外包|專案|補助|推卸責任|民進黨-獨裁極權,
2024/05/06,https://www.youtube.com/watch?v=m3_WQ-aDh3E,跟我在網上對罵的黑粉竟然是我的偶像!? 美女聲優疑開小號到處引戰偷酸同行被抓包! 結果卻因意外理由粉絲不減反增!?｜水瀨祈小號炎上事件｜阿先說故事,"休閒牧場, ACG同好會",八卦娛樂|迷因,
2024/05/05,https://www.youtube.com/watch?v=OuBmpQSVDZs,[Touhou 3D] Eternal Night - part 2,ACG同好會,動畫,
2024/05/05,https://www.youtube.com/watch?v=JVAmWPKN1E0,【館長精華】柯文哲貪汙？民進黨慣用手法玩不膩！,"社會學, 系列主題",時事輿論|陳之漢-義士,
2024/05/04,https://www.youtube.com/watch?v=gFdGfhNdVbI,【國昌質詢】體育署承諾要專案徹查，查到哪裡去了？｜2024-04-29｜教育及文化委員會,"社會學, 系列主題, 社會相關議題, 事件目錄, 台灣民眾黨專區, 吹哨者",時事輿論|黃國昌-通識課|質詢|立法院|[政治]相關議題|[體育競技]相關議題|官商勾結|偽造文書|變造文書|黑箱弊案|專案|補助|,
2024/05/04,https://www.youtube.com/watch?v=v-fc1zv31zE,Bad Apple!! feat.SEKAI / 25時、ナイトコードで。 × 初音ミク,音樂收藏,Ⅰ東方|淺層,
2024/05/03,https://disp.cc/b/ACG/gYfI,[閒聊] 哩洗勒靠喔? (你在哭喔?),這是什麼酷酷的東西,圖片,
2024/05/03,https://disp.cc/b/ACG/gYft,[閒聊] QQ飛車廣告：三體人害怕林黛玉,這是什麼酷酷的東西,影片,
2024/05/03,https://ppg.ly.gov.tw/ppg/bills/202110041390000/details,「兒童及少年性剝削防制條例部分條文修正草案」，請審議案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|黃珊珊|黃國昌|吳春城,
2024/05/03,https://ppg.ly.gov.tw/ppg/bills/202110041320000/details,「性別平等工作法第三條、第十六條及第十七條條文修正草案」，請審議案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|陳昭姿|黃國昌|黃珊珊|吳春城,
2024/05/03,https://ppg.ly.gov.tw/ppg/bills/202110041380000/details,「金融消費者保護法部分條文修正草案」，請審議案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|黃珊珊|黃國昌|吳春城,
2024/05/03,https://ppg.ly.gov.tw/ppg/bills/202110041360000/details,「金融監督管理委員會金融科技局組織法草案」，請審議案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|黃珊珊|黃國昌|吳春城,
2024/05/03,https://ppg.ly.gov.tw/ppg/bills/202110041370000/details,「金融監督管理委員會金融消費者保護局組織法草案」，請審議案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|黃珊珊|黃國昌|吳春城,
2024/05/03,https://ppg.ly.gov.tw/ppg/bills/202110041350000/details,「金融監督管理委員會組織法第二條、第三條及第四條條文修正草案」，請審議案。,"台灣民眾黨專區, 國是論壇",台灣民眾黨立法院黨團|黃珊珊|黃國昌|吳春城,
2024/05/03,https://ppg.ly.gov.tw/ppg/bills/202110041340000/details,「國際合作發展法第七條條文修正草案」，請審議案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|林憶君|黃國昌|黃珊珊|吳春城,
2024/05/03,https://ppg.ly.gov.tw/ppg/bills/202110041330000/details,「就業保險法第十條、第十一條及第十九條之二條文修正草案」，請審議案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|陳昭姿|黃國昌|黃珊珊|吳春城,
2024/05/03,https://www.youtube.com/watch?v=AIs5Dx7XxeE,【直播精華】這我一定要丟履歷,"社會學, 系列主題, 台灣民眾黨專區",時事輿論|黃國昌-通識課|立法院|質詢,
2024/05/03,https://www.youtube.com/watch?v=PosDXWLv8CY,【國昌質詢】改善醫護血汗問題 新內閣要兌現選舉承諾｜2024-05-02｜社會福利及衛生環境委員會,"社會學, 系列主題, 社會相關議題, 事件目錄, 法律及法案, 台灣民眾黨專區",時事輿論|黃國昌-通識課|立法院|質詢|[人力配置]相關議題|[法律司法]相關議題|[政治]相關議題|[醫療]相關議題|承諾|[全民健康保險法]相關議題,
2024/05/03,https://disp.cc/b/ACG/gYeT,Re: [閒聊] 前輩有夠煩,ACG同好會,,
2024/05/02,https://www.youtube.com/watch?v=WFREd2U86gg,【國昌質詢】拒絕包庇不肖廠商 絕不容忍標案養側翼做選舉攻防｜2024-05-02｜交通委員會,"社會學, 系列主題, 社會相關議題, 事件目錄, 區域地方縣市, 台灣民眾黨專區, 吹哨者, 法律及法案",時事輿論|黃國昌-通識課|立法院|質詢|高雄市|屏東縣|[國防|軍備|組織]相關議題|[建築工程]相關議題|[政治]相關議題|[經濟財政]相關議題|[僱傭]相關議題|[人力配置]相關議題|[黑道]相關議題|[廣告|媒體]相關議題|[詐騙]相關議題|[認知作戰]相關議題|承諾|中央與地方之問題|獨裁極權|官商勾結|[酬庸]發財升官|黑箱弊案|封存舞弊真相|大內宣|民進黨-獨裁極權|[政府採購法]相關議題|,
2024/05/02,https://www.youtube.com/watch?v=CA9gZ2tkQP8,【國昌質詢】經濟部為力暘開後門　王美花護航綠友友｜2024-05-02｜經濟委員會,"社會學, 系列主題, 社會相關議題, 事件目錄, 法律及法案, 區域地方縣市, 台灣民眾黨專區, 吹哨者",時事輿論|黃國昌-通識課|質詢|立法院|[能源]相關議題|[人力配置]相關議題|[法律司法]相關議題|[政治]相關議題|[經濟財政]相關議題|[詐騙]相關議題|承諾|中央與地方之問題|獨裁極權|官商勾結|[酬庸]發財升官|黑箱弊案|敷衍了事|舞弊雙標|不守信用|民進黨-獨裁極權|臺南市|,
2024/05/02,https://youtu.be/5ulCm2fVPyY?si=I-FFH-6ylwbmKADJ,メイドノココロハ アヤツリドール,音樂收藏,Ⅰ東方|臨界層|淺層,
2024/05/01,https://www.youtube.com/watch?v=Ph5qYYmrqXA,【國昌質詢】國家安全威脅頻傳 關鍵基礎設施掛一漏萬｜2024-04-29｜外交及國防委員會,"社會學, 系列主題, 社會相關議題, 事件目錄, 法律及法案, 台灣民眾黨專區, 吹哨者",時事輿論|黃國昌-通識課|立法院|質詢|[國防|軍備|組織]相關議題|[交通]相關議題|[法律司法]相關議題|[政治]相關議題|[境外勢力]相關議題|[綜合領域]相關議題|閹割版法案|承諾|[酬庸]發財升官|敷衍了事|[詐術]抗中保台|推卸責任|[建築工程]相關議題|[國防法]相關議題|[要塞堡壘地帶法]相關議題|,
2024/05/01,https://www.youtube.com/watch?v=fsODKsIn_1U,【國昌質詢】墮落的NCC　濫權的陳耀祥｜2024-05-01｜ 司法及法制、交通委員會聯席會,"社會學, 系列主題, 社會相關議題, 事件目錄, 台灣民眾黨專區, 吹哨者, 法律及法案",時事輿論|黃國昌-通識課|立法院|質詢|[吹哨者保護法]相關議題|[人力配置]相關議題|[法律司法]相關議題|[政治]相關議題|[廣告|媒體]相關議題|獨裁極權|官商勾結|[酬庸]發財升官|黑箱弊案|民進黨-獨裁極權|,
2024/04/30,https://www.youtube.com/watch?v=4AbSELYl_wk,【國昌質詢】中火工程偷工減料 誰在包庇不法廠商？｜2024-04-24｜經濟委員會,"社會學, 系列主題, 社會相關議題, 事件目錄, 區域地方縣市, 台灣民眾黨專區, 吹哨者",時事輿論|黃國昌-通識課|臺中市|立法院|質詢|[能源]相關議題|[政治]相關議題|[建築工程]相關議題|[詐騙]相關議題|中央與地方之問題|獨裁極權|官商勾結|偽造文書|變造文書|火力發電廠|黑箱弊案|委託辦理|外包|大內宣|民進黨-獨裁極權|,
2024/04/30,https://www.youtube.com/shorts/CpdEFgoAWMw,Let's start the lesson of Beat Saber.,這是什麼酷酷的東西,影片,
2024/04/29,https://www.youtube.com/watch?v=vRKJavezm0o,【國昌直播】看看(我在)立法院做什麼_0429,"社會學, 系列主題, 社會相關議題, 事件目錄, 法律及法案, 區域地方縣市, 台灣民眾黨專區, 吹哨者, ",時事輿論|黃國昌-通識課|承諾|質詢|立法院|[承諾]台灣民眾黨|獨裁極權|官商勾結|舞弊雙標|不守信用|民進黨-獨裁極權|[詐術]抗中保台|[詐騙]相關議題|[境外勢力]相關議題|[政治]相關議題|[法律司法]相關議題|偽造文書|變造文書|[酬庸]發財升官|[能源]相關議題|綠能|中央與地方之問題|彰化縣|苗栗縣|臺南市|雲林縣|[食品]相關議題|大內宣|愚民政策|[境外勢力]相關議題|黑箱弊案|[詐術]抗中保台|瘦肉精|[房價房租]相關議題|,
2024/04/29,https://www.youtube.com/watch?v=EMo1z2dHVEQ,【國昌質詢】制裁兒少數位性暴力　台灣與美國的距離｜2024-04-29｜社會福利及衛生環境委員會,"社會學, 系列主題, 社會相關議題, 台灣民眾黨專區, ",時事輿論|黃國昌-通識課|立法院|質詢|[兒童及少年福利與權益保障法]相關議題|[兒少|教育]相關議題|[法律司法]相關議題|,
2024/04/29,https://www.youtube.com/watch?v=Dna_OSw49XY,【國昌質詢】廢除監察院　啟動第三波民主改革｜2024-04-29｜司法及法制委員會,"社會學, 系列主題, 社會相關議題, 事件目錄, 法律及法案, 台灣民眾黨專區, 吹哨者",時事輿論|黃國昌-通識課|[食品]相關議題|[能源]相關議題|[人力配置]相關議題|[法律司法]相關議題|[政治]相關議題|遭箝制法案|承諾|中央與地方之問題|官商勾結|[酬庸]發財升官|黑箱弊案|綠能|舞弊雙標|不守信用|[憲法]相關議題|立法院|質詢|,
2024/04/29,https://www.youtube.com/watch?v=aSKu5kotLtI,另一半憑什麼要我陪他一起吃苦？｜莫名其妙EP169,休閒牧場,討論|八卦娛樂,
2024/04/27,https://www.facebook.com/ironprofessorchan/posts/pfbid02DtmX8NbMASmXX3HkmdUYAcWhLC5H3w1ZtwNAGpfbYAUodGnVnABd7R4w5FTTYNMTl,冒險者公會[公告]2024/04/27-白河水庫集水區現勘活動,"社會學, 系列主題, 社會相關議題, 區域地方縣市, 吹哨者, ",冒險者公告|生態|陳椒華-循道者|[水資源]相關議題|臺南市|,
2024/04/26,https://ppg.ly.gov.tw/ppg/bills/202110037670000/details,「不在籍投票法草案」，請審議案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|麥玉珍|黃國昌|黃珊珊|吳春城,
2024/04/26,https://ppg.ly.gov.tw/ppg/bills/202110037650000/details,「民防法第二條條文修正草案」，請審議案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|林憶君|黃國昌|黃珊珊|吳春城,
2024/04/26,https://ppg.ly.gov.tw/ppg/bills/202110037640000/details,「全民防衛動員準備法第三條及第六條條文修正草案」，請審議案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|林憶君|黃國昌|黃珊珊|吳春城,
2024/04/26,https://ppg.ly.gov.tw/ppg/bills/202110037660000/details,「消防法第四十三條之一條文修正草案」，請審議案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|林憶君|黃國昌|黃珊珊|吳春城,
2024/04/26,https://ppg.ly.gov.tw/ppg/bills/202110037680000/details,「畜牧法部分條文修正草案」，請審議案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|張啓楷|黃國昌|黃珊珊|吳春城,
2024/04/26,https://ppg.ly.gov.tw/ppg/bills/202110037690000/details,「野生動物保育法第五十一條條文修正草案」，請審議案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|張啓楷|黃國昌|黃珊珊|吳春城,
2024/04/26,https://ppg.ly.gov.tw/ppg/bills/202110037700000/details,「電信管理法第五條及第八條之一條文修正草案」，請審議案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|林國成|黃國昌|黃珊珊|吳春城,
2024/04/26,https://ppg.ly.gov.tw/ppg/bills/202110037710000/details,「遠洋漁業條例部分條文修正草案」，請審議案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|張啓楷|黃國昌|黃珊珊|吳春城,
2024/04/26,https://www.youtube.com/watch?v=s1d3tlrqof0,【直播精華】這個如果講出來會政壇大地震,"社會學, 系列主題, 社會相關議題, 事件目錄, 法律及法案, 台灣民眾黨專區, 吹哨者",時事輿論|黃國昌-通識課|立法院|質詢|[法律司法]相關議題|[政治]相關議題|[國會聽證制度]相關議題|[憲法]相關議題|[待建立之法律]|獨裁極權|官商勾結|黑箱弊案|封存舞弊真相|民進黨-獨裁極權|舞弊雙標|不守信用|[兒少|教育]相關議題|[兒童及少年福利與權益保障法]相關議題|[刑法]相關議題|[黑道]相關議題|[交通]相關議題|[經濟財政]相關議題|[政治]相關議題|官商勾結|偽造文書|變造文書|違建|,
2024/04/26,https://ppg.ly.gov.tw/ppg/bills/212110025740000/details,有鑑於經濟部宣布自4月起工商民生用電將全面漲價，以阻止台電擴大虧損，惟蔡政府執政七年來，電價已調漲三次，漲幅逼近23％。4月電價即將再漲11％，將造成百物齊漲、衝擊百工百業。蔡政府「不得不」調漲之理由，實為為其錯誤能源政策要人民買單。一手伸人民口袋漲電價、轉手再向民間電廠高額購入綠電，導致台電財務黑洞持續擴大，營運效率卻備受質疑，發電、儲電、配電及電網韌性不足等問題遲遲不見改善。錯誤的政策比貪污更可怕，爰建請院會作成決議：「要求經濟部針對台灣整體能源政策、電價費率結構及台電相關各項支出及撙節措施，向本院經濟委員會提出全面檢討報告，且經本院經濟委員會審議通過前，電價全面緩漲。」是否有當？請公決案。,"台灣民眾黨專區, 國是論壇",法條草案|立法院|台灣民眾黨立法院黨團|黃國昌|林國成,
2024/04/26,https://www.youtube.com/watch?v=v0rmZyRoBgU,E人Ｉ人永遠不懂對方！I人超自閉？E人都愛路上亂叫？！沒想到「這一招」能辨別I、E人？【E人I人大對決】Dcard調查局｜Dcard.Video,休閒牧場,八卦娛樂,
2024/04/25,https://www.youtube.com/watch?v=OlUuBhWQBgg,【國昌質詢】民進黨可笑的國會改革草案　國會內鬼竟幫詐團非法引入中國人洗錢｜2024-04-25｜司法及法制委員會,"社會學, 系列主題, 社會相關議題, 事件目錄, 法律及法案, 台灣民眾黨專區, 吹哨者, ",時事輿論|黃國昌-通識課|[法律司法]相關議題|[政治]相關議題|[認知作戰]相關議題|[廣告|媒體]相關議題|扭曲事實|[國會聽證制度]相關議題|[詐騙]相關議題|劣質法案|獨裁極權|官商勾結|愚民政策|民進黨-獨裁極權|獨裁極權|基層開刀，高層免責|[境外勢力]相關議題|舞弊雙標|不守信用|[詐術]抗中保台|[國防|軍備|組織]相關議題|[人力配置]相關議題|[黑道]相關議題|[立法委員行為法]相關議題,
2024/04/25,https://www.youtube.com/watch?v=vNsiNXiGp6w,【國昌質詢】血汗過勞的司法 活在象牙塔的司法院｜2024-04-24｜司法及法制委員會,"社會學, 系列主題, 社會相關議題, 事件目錄, 法律及法案, 台灣民眾黨專區, 吹哨者, ",立法院|質詢|時事輿論|黃國昌-通識課|[人力配置]相關議題|[法律司法]相關議題|[僱傭]相關議題|中央與地方之問題|基層開刀，高層免責|敷衍了事|推卸責任|,
2024/04/25,https://www.youtube.com/watch?v=8Lwj8vYoFMU,【國昌質詢】蔡英文對勞工的莊嚴承諾 全部淪為空頭支票｜2024-04-25｜社福衛環委員會,"社會學, 系列主題, 社會相關議題, 台灣民眾黨專區, 事件目錄, 法律及法案, ",時事輿論|黃國昌-通識課|立法院|質詢|[人力配置]相關議題|[政治]相關議題|[法律司法]相關議題|[僱傭]相關議題|遭箝制法案|承諾|勞動派遣之專法|公部門逐漸減少使用勞動派遣|「部分工時勞工保護」相關立法|工會|,
2024/04/25,https://www.youtube.com/watch?v=bwJlI9DpySc,使用「魔法字眼」提高溝通說服力！谷阿莫：「給你錢，快點做」｜莫名其妙EP168,"休閒牧場, 人生哲學",討論|八卦娛樂,
